text,label
flutter developer,technical
PYTHON,technical
DJANGO,technical
Python,technical
API development,technical
REST,technical
RPC,technical
Django,technical
flask,technical
Linux,technical
handle multiple tasks,soft
attention to detail,soft
communication,soft
SQL,technical
JSON,technical
PyUnit,technical
Machine Learning,technical
Deep Learning,technical
Machine Learning,technical
Python,technical
Python,technical
Java,technical
Machine Learning,technical
Quick learner,soft
Team player,soft
positive attitude,soft
collaborative,soft
communication,soft
Dedicated,soft
Flexible,soft
Spark,technical
Deep Learning,technical
PyTorch,technical
TensorFlow,technical
Keras,technical
Objective-C,technical
Cocoa Touch,technical
iOS frameworks,technical
Core Data,technical
Core Animation,technical
Core Graphics,technical
Core Text,technical
APIs,technical
full stack engineer,technical
react,technical
react j native,technical
responsibility,soft
full stack engineer,technical
react j native,technical
web engineering,technical
react,technical
react,technical
redux ,technical
angular,technical
vue,technical
javascript,technical
html,technical
 restful apis,technical
mvc,technical
object-oriented programming,technical
front-end development,technical
sass,technical
open source,technical
communication,soft
collaborative,soft
team player,soft
resolve conflict,soft
web services,technical
WSDL,technical
Soap,technical
Restful,technical
MVC architecture,technical
C#,technical
.NET,technical
.NET Core,technical
HTML5,technical
CSS3,technical
MsSQL,technical
MySQL,technical
ReactJS,technical
problem solving,soft
decision making,soft
learn quickly,soft
work independently,soft
Able to work off hours,soft
self-starter,soft
work ethic,soft
full stack developer,technical
back-end,technical
front-end,technical
nodejs,technical
java,technical
mongodb,technical
redis,technical
react,technical
angular,technical
javascript,technical
html,technical
responsive ui,technical
apis,technical
ReactJS,technical
NodeJs,technical
Azure,technical
GraphQL,technical
javascript,technical
reactjs,technical
nodejs,technical
Azure,technical
HTML5,technical
CSS3,technical
Javascript,technical
communication,soft
REST,technical
GRAPHQL,technical
ReactJS,technical
NodeJS,technical
Azure,technical
GraphQL,technical
Ruby,technical
Python,technical
Java,technical
Puppet,technical
Chef,technical
Cloudify,technical
CFEngine,technical
open source,technical
Cobbler,technical
Foreman,technical
PHP,technical
Linux,technical
Linux,technical
Cloud,technical
DevOps,technical
organization,soft
Urban Code,technical
Hadoop,technical
Tomcat,technical
Mule,technical
OpenAM,technical
Apache,technical
collaboration,soft
teamwork,soft
REST API,technical
REST API,technical
REST API,technical
C/C++,technical
Linux,technical
Python,technical
Go,technical
Git,technical
Gerrit ,technical
Jenkins,technical
communication,soft
API,technical
communication,soft
time management,soft
multitask,soft
interpersonal skills,soft
interact effectively,soft
team player,soft
analytical,soft
problem solving,soft
decision making,soft
influencing capabilities,soft
sql,technical
TensorFlow,technical
OpenCV,technical
Python,technical
Artificial Neural Network (ANN),technical
Deep Learning,technical
Image Processing,technical
PyTorch,technical
Amazon Web Services (AWS),technical
Cloud Computing,technical
Deep learning,technical
Convolutional Neural Networks,technical
Object detection,technical
Semantic segmentation,technical
Instance segmentation,technical
OpenCV,technical
Python,technical
deep learning,technical
machine learning,technical
tensorflow,technical
keras,technical
scikit-learn,technical
Numpy,technical
Amazon Web service,technical
machine learning,technical
deep learning,technical
Pytorch,technical
machine learning,technical
Machine Learning,technical
Machine Learning,technical
Data Mining,technical
Machine Learning,technical
Machine Learning,technical
Machine Learning,technical
Machine Learning,technical
machine learning,technical
machine learning,technical
Machine Learning,technical
problem-solving,soft
Java,technical
Scala,technical
C++,technical
Perl,technical
Python,technical
R,technical
Matlab,technical
communication,soft
presentation skills,soft
Machine Learning,technical
Data Mining,technical
Proficiency,soft
cybersecurity,technical
machine learning,technical
HTML5,technical
CSS,technical
Bootstrap,technical
Angular,technical
JavaScript,technical
